Board Size,Max Depth,Total Nodes visited,Win Chance,Time spent(s)
"(6, 7)",1,32.795,0.505,0.0039008462429046
"(6, 7)",3,674.22,0.99,0.0552081227302551
"(6, 7)",5,10233.385,0.99,0.8285971879959106
"(6, 7)",7,133496.41,1.0,11.148775396347046
"(7, 8)",1,35.535,0.61,0.0057292830944061
"(7, 8)",3,809.445,0.995,0.0836883032321929
"(7, 8)",5,15868.64,1.0,1.6450748312473298
"(7, 8)",7,259054.26,1.0,28.211300486326216
"(7, 10)",1,40.73,0.755,0.0076569640636444
"(7, 10)",3,1155.61,0.995,0.1431908619403839
"(7, 10)",5,32600.6,1.0,4.127272346019745
"(7, 10)",7,691156.96,1.0,91.43320452690125
